customer_id,first_name,last_name,gender,age,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
122,Colver,Itter,Male,38,87,Quality Control Specialist,Financial Services,Mass Customer,N,Yes,12.0
123,Almeta,Kalinsky,Female,29,85,Analyst Programmer,Financial Services,High Net Worth,N,No,15.0
124,Kath,Cunney,Female,22,27,Administrative Assistant II,Health,High Net Worth,N,Yes,5.0
125,Darrelle,Antoniewski,Female,57,94,Computer Systems Analyst II,Property,Mass Customer,N,No,16.0
126,Norman,Cliff,Male,25,53,Administrative Officer,Health,Mass Customer,N,Yes,3.0
127,Merrili,Whitear,Female,43,81,Compensation Analyst,Financial Services,Mass Customer,N,No,19.0
128,Isidro,Cypler,Male,40,73,Systems Administrator III,Property,Mass Customer,N,Yes,12.0
129,Weidar,Silkstone,Male,32,64,Financial Advisor,Financial Services,High Net Worth,N,Yes,19.0
130,Raddy,Delete,Male,20,32,Chemical Engineer,Manufacturing,Mass Customer,N,No,1.0
131,Jana,Renyard,Female,53,57,Administrative Officer,Retail,High Net Worth,N,No,8.0
132,Celesta,Willavoys,Female,54,5,Web Designer I,Manufacturing,Mass Customer,N,Yes,9.0
133,Eldridge,Fiddeman,Male,40,12,VP Accounting,Financial Services,Mass Customer,N,Yes,16.0
134,Merna,McCulloch,Female,20,34,Legal Assistant,Telecommunications,Affluent Customer,N,Yes,5.0
135,Rosalia,Sigart,Female,42,18,Internal Auditor,IT,Mass Customer,N,No,3.0
136,Mel,Bennet,Male,44,46,Senior Developer,Manufacturing,High Net Worth,N,Yes,7.0
137,Vaughn,Artin,Male,30,27,Office Assistant II,Property,High Net Worth,N,No,10.0
138,Onofredo,Franc,Male,32,5,Recruiter,Financial Services,Affluent Customer,N,Yes,13.0
139,Gar,None,Male,53,1,Operator,Telecommunications,Affluent Customer,N,No,4.0
140,Morrie,Flaxon,Male,23,9,Programmer Analyst III,Manufacturing,Mass Customer,N,No,2.0
141,Townsend,Trobe,Male,63,67,Teacher,Financial Services,High Net Worth,N,Yes,10.0
142,Bentley,Fortesquieu,Male,50,57,Quality Engineer,Health,Affluent Customer,N,No,17.0
143,Kendall,Figg,Male,60,19,Operator,Argiculture,Mass Customer,N,Yes,11.0
145,Filippo,Ferrara,Male,20,33,Account Executive,Financial Services,Mass Customer,N,No,4.0
146,Ricoriki,Matlock,Male,32,34,Quality Control Specialist,Manufacturing,Mass Customer,N,No,8.0
147,Rea,Pattrick,Female,44,32,Analog Circuit Design manager,Health,Mass Customer,N,Yes,10.0
148,Jaquith,Maffey,Female,36,69,Programmer Analyst III,Missing,Mass Customer,N,Yes,5.0
149,Drucy,Kausche,Female,22,41,Research Nurse,Health,Mass Customer,N,Yes,1.0
150,Bradly,Crosse,Male,34,6,Cost Accountant,Financial Services,Affluent Customer,N,No,17.0
151,Donnie,Brimson,Male,52,36,Marketing Manager,Manufacturing,Mass Customer,N,Yes,13.0
152,Stephana,Cardew,Female,36,5,Compensation Analyst,Financial Services,Mass Customer,N,No,16.0
153,Lorilyn,Walshe,Female,40,73,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,12.0
154,Faydra,Dulieu,Female,59,90,Junior Executive,Missing,Mass Customer,N,No,11.0
155,Orran,Bogges,Male,32,4,Quality Engineer,Manufacturing,Mass Customer,N,No,10.0
156,Shayla,Rimmington,Female,38,23,Cost Accountant,Financial Services,Mass Customer,N,Yes,11.0
157,Chad,Houtby,Male,43,97,Financial Advisor,Financial Services,Affluent Customer,N,No,16.0
158,Hamlin,Odams,Male,33,99,Internal Auditor,Missing,Affluent Customer,N,No,5.0
159,Arin,Matskevich,Male,30,90,Research Nurse,Health,Affluent Customer,N,No,13.0
160,Wake,Durning,Male,53,5,Registered Nurse,Health,Mass Customer,N,No,18.0
161,Tadd,Bloss,Male,41,49,Missing,Missing,Mass Customer,N,No,16.0
162,Port,Acuna,Male,38,90,Nurse Practicioner,IT,Mass Customer,N,No,15.0
163,Kessia,Helder,Female,41,58,Librarian,Entertainment,High Net Worth,N,Yes,14.0
164,Aarika,Van Vuuren,Female,18,55,Senior Editor,Retail,Affluent Customer,N,Yes,1.0
165,Aldon,Roelofs,Male,33,61,Administrative Officer,Argiculture,Mass Customer,N,Yes,12.0
166,Elston,Oleszczak,Male,62,54,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,No,6.0
167,Nathalie,Tideswell,Female,48,95,Missing,Health,High Net Worth,N,Yes,17.0
169,Alfy,Bruhnke,Male,60,20,Data Coordiator,Telecommunications,High Net Worth,N,Yes,5.0
170,Jammal,Gever,Male,42,80,Pharmacist,Health,High Net Worth,N,No,21.0
171,Halli,Davidoff,Female,47,62,Assistant Manager,Manufacturing,Mass Customer,N,No,10.0
172,Hilton,Carney,Male,29,54,Editor,Manufacturing,Affluent Customer,N,Yes,6.0
173,Ebba,Hanselmann,Female,21,99,General Manager,Health,Affluent Customer,N,No,1.0
174,Catie,Tosspell,Female,28,93,Food Chemist,Health,Mass Customer,N,No,12.0
175,Templeton,Hambrook,Male,42,36,Quality Engineer,Manufacturing,Affluent Customer,N,No,5.0
176,Angelo,Clayal,Male,25,39,Accountant I,Property,Mass Customer,N,No,10.0
177,Ondrea,Pablos,Female,28,25,Professor,Financial Services,High Net Worth,N,No,4.0
178,Matthieu,Bertelmot,Male,50,2,Missing,Missing,Affluent Customer,N,No,8.0
179,Esteban,Sewill,Male,51,23,Environmental Tech,Manufacturing,High Net Worth,N,Yes,6.0
180,Trisha,Neasham,Female,46,16,Web Designer III,Argiculture,Affluent Customer,N,No,14.0
181,Pavla,Braunle,Female,35,49,Senior Editor,Manufacturing,Mass Customer,N,No,9.0
182,Lydon,Dahlman,Male,25,99,Sales Associate,Financial Services,Affluent Customer,N,Yes,7.0
183,Dannie,Hissie,Female,20,7,Geologist III,Retail,Affluent Customer,N,No,3.0
184,Nappie,Paolo,Male,46,40,Marketing Manager,Manufacturing,High Net Worth,N,Yes,7.0
185,Crosby,Walcot,Male,38,80,Missing,Property,Mass Customer,N,Yes,13.0
186,Mireielle,Jeppe,Female,43,46,Software Test Engineer I,Financial Services,Mass Customer,N,No,3.0
187,Pincas,Ather,Male,63,97,Structural Engineer,Missing,Mass Customer,N,No,11.0
188,Audry,Seine,Female,42,54,Safety Technician II,Property,High Net Worth,N,Yes,13.0
189,Umberto,Torricella,Male,36,73,Safety Technician I,Financial Services,Affluent Customer,N,No,10.0
190,Hayley,Girardengo,Female,38,42,Registered Nurse,Health,Affluent Customer,N,No,10.0
191,Christopher,Heining,Male,57,22,Help Desk Operator,Missing,Affluent Customer,N,Yes,6.0
192,Goldi,Osler,Female,39,2,Junior Executive,Health,Mass Customer,N,Yes,8.0
193,Foss,Hardes,Male,53,13,Recruiting Manager,Manufacturing,Mass Customer,N,Yes,12.0
194,Ursala,Ferrai,Female,43,4,Web Developer III,Financial Services,Affluent Customer,N,No,10.0
195,Talyah,Rylatt,Female,59,34,Project Manager,Manufacturing,Mass Customer,N,No,6.0
196,Swen,Odhams,Male,51,90,Programmer Analyst II,Manufacturing,High Net Worth,N,No,6.0
197,Avis,None,Female,40,32,Missing,Missing,High Net Worth,N,No,5.0
198,Vanya,Gumb,Female,36,82,Assistant Media Planner,Entertainment,Mass Customer,N,No,16.0
199,Verla,Alven,Female,39,61,Junior Executive,Health,Mass Customer,N,Yes,21.0
200,Hube,Weald,Male,60,7,Physical Therapy Assistant,Property,Affluent Customer,N,Yes,19.0
201,Salem,Huie,Male,51,45,Design Engineer,Manufacturing,Mass Customer,N,Yes,11.0
202,Audie,Pillinger,Female,54,38,Librarian,Entertainment,Affluent Customer,N,Yes,16.0
203,Donovan,Conry,Male,54,71,Senior Quality Engineer,Argiculture,Mass Customer,N,Yes,11.0
204,Thorny,Hackworth,Male,41,56,Editor,Financial Services,Mass Customer,N,No,5.0
205,Rolfe,Kellard,Male,59,18,Administrative Assistant II,Financial Services,Mass Customer,N,Yes,6.0
206,Mari,Chevolleau,Female,63,98,Statistician I,Missing,Mass Customer,N,Yes,14.0
207,Adena,Whyman,Female,23,9,Missing,Missing,Mass Customer,N,No,7.0
208,Rutter,Excell,Male,23,57,Office Assistant III,Property,High Net Worth,N,No,5.0
209,Udall,Bellard,Male,60,9,Analog Circuit Design manager,Missing,Affluent Customer,N,Yes,6.0
210,Albrecht,Thomasson,Male,54,50,Assistant Manager,Property,Mass Customer,N,No,18.0
211,Beitris,None,Female,43,6,VP Marketing,Manufacturing,Mass Customer,N,Yes,5.0
212,Nanice,Ellse,Female,16,21,Desktop Support Technician,IT,Affluent Customer,N,No,1.0
213,Lockwood,Exroll,Male,21,13,Actuary,Financial Services,High Net Worth,N,Yes,6.0
214,Jeramie,Cellier,Male,60,82,Food Chemist,Health,Mass Customer,N,No,6.0
215,Debera,Foxworthy,Female,43,37,Assistant Professor,Retail,High Net Worth,N,Yes,18.0
216,Cinderella,Parcall,Female,22,12,Quality Engineer,Financial Services,High Net Worth,N,Yes,7.0
217,Jeralee,Quartly,Female,38,63,Missing,Manufacturing,High Net Worth,N,No,16.0
218,Stefa,Dunnan,Female,24,37,Administrative Officer,Property,High Net Worth,N,Yes,8.0
219,Markus,Mughal,Male,53,9,Database Administrator III,Health,Mass Customer,N,No,7.0
220,Jeniffer,Apark,Female,63,79,Electrical Engineer,Manufacturing,High Net Worth,N,No,9.0
221,Mara,Bloore,Female,37,14,Tax Accountant,Manufacturing,Mass Customer,N,No,14.0
222,Nev,Larive,Male,39,89,Clinical Specialist,Health,Mass Customer,N,No,16.0
223,Ossie,Meaton,Male,34,13,VP Sales,Missing,Affluent Customer,N,Yes,14.0
224,Morgun,Girvan,Male,50,2,Compensation Analyst,Financial Services,Affluent Customer,N,No,17.0
225,Brittaney,Pring,Female,40,84,Pharmacist,Health,Affluent Customer,N,No,13.0
226,Bondie,Letty,Male,40,96,Database Administrator IV,Manufacturing,Mass Customer,N,No,20.0
227,Wendall,McKeand,Male,44,99,Accountant I,Entertainment,Mass Customer,N,No,18.0
228,Lucia,Pickervance,Female,31,59,Systems Administrator II,Manufacturing,High Net Worth,N,No,12.0
229,Vaughn,Lambis,Male,51,30,Missing,Property,High Net Worth,N,No,19.0
230,Maegan,Scyone,Female,63,74,Internal Auditor,Property,High Net Worth,N,No,11.0
231,Basile,Winsor,Male,22,48,Design Engineer,Financial Services,Mass Customer,N,Yes,3.0
232,Zaria,Koeppke,Female,30,94,Professor,Retail,Mass Customer,N,No,12.0
233,Art,Barwell,Male,31,34,Environmental Tech,Property,Mass Customer,N,No,13.0
234,Mead,Alpes,Female,48,71,Chief Design Engineer,Retail,High Net Worth,N,No,12.0
235,Leona,Phateplace,Female,41,30,Social Worker,Health,Mass Customer,N,No,15.0
236,Tybalt,Gillingwater,Male,63,79,Research Nurse,Health,Affluent Customer,N,No,14.0
237,Reginald,Dartan,Male,43,18,Account Coordinator,Property,High Net Worth,N,Yes,11.0
238,Max,Bilborough,Male,33,54,Programmer III,Missing,Mass Customer,N,Yes,14.0
239,Wells,Pressman,Male,25,62,Registered Nurse,Health,Affluent Customer,N,No,3.0
240,Gavin,Fawks,Male,28,49,Administrative Assistant III,IT,High Net Worth,N,Yes,15.0
241,Quillan,Duigan,Male,30,94,Quality Engineer,Entertainment,Mass Customer,N,No,20.0
242,Taite,Droghan,Male,25,17,Nurse,Property,Affluent Customer,N,No,8.0
243,Barbara,Croxley,Female,41,94,Teacher,Manufacturing,High Net Worth,N,Yes,14.0
244,Germayne,Sperry,Male,43,57,Missing,Retail,Affluent Customer,N,No,8.0
245,Noell,Grahlmans,Female,16,6,Associate Professor,Financial Services,Affluent Customer,N,No,1.0
246,Binny,Whight,Female,26,63,Technical Writer,Manufacturing,High Net Worth,N,No,9.0
247,Kristal,Joysey,Female,34,62,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0
248,Inger,Eskell,Female,39,76,Clinical Specialist,Health,Affluent Customer,N,Yes,12.0
249,D'arcy,Slay,Male,25,65,Quality Control Specialist,IT,High Net Worth,N,No,9.0
250,Kristofer,None,Male,29,53,Legal Assistant,Health,Mass Customer,N,Yes,13.0
251,Mala,None,Female,40,88,VP Sales,Financial Services,Affluent Customer,N,Yes,10.0
252,Anthea,Ruskin,Female,34,39,Account Coordinator,Property,Mass Customer,N,Yes,13.0
253,Amalee,Choak,Female,20,82,Food Chemist,Health,Mass Customer,N,Yes,1.0
254,Barbie,Rubi,Female,56,98,Information Systems Manager,Retail,Mass Customer,N,No,14.0
255,Keeley,Kruger,Female,64,2,Desktop Support Technician,IT,Mass Customer,N,No,5.0
256,Linell,Beadle,Female,42,16,Director of Sales,Health,High Net Worth,N,Yes,21.0
257,Marissa,None,Female,51,70,Sales Associate,Manufacturing,Affluent Customer,N,Yes,19.0
258,Othella,Keher,Female,25,24,Administrative Officer,Manufacturing,High Net Worth,N,No,9.0
259,Venita,Dymick,Female,34,70,Senior Developer,Health,High Net Worth,N,Yes,3.0
260,Farand,Marriner,Female,38,47,Senior Quality Engineer,Health,High Net Worth,N,Yes,22.0
261,Marve,Pryn,Male,40,74,Structural Engineer,Missing,Mass Customer,N,No,8.0
262,Cordie,Petrelli,Male,40,97,Missing,Health,High Net Worth,N,Yes,10.0
263,Tonia,Leigh,Female,32,89,Dental Hygienist,Health,High Net Worth,N,No,7.0
264,Jedd,Spiby,Male,40,31,Technical Writer,Health,Mass Customer,N,No,11.0
265,Pennie,Stoile,Male,52,74,Sales Representative,Retail,High Net Worth,N,Yes,18.0
266,Lelia,Garatty,Female,28,69,Account Executive,Retail,Affluent Customer,N,No,18.0
268,Kacie,Kidston,Female,39,60,Chemical Engineer,Manufacturing,Mass Customer,N,No,10.0
269,Zacherie,Grindley,Male,63,55,Nurse Practicioner,Property,Mass Customer,N,Yes,9.0
270,Auberta,Roundtree,Female,47,38,Budget/Accounting Analyst III,Missing,Mass Customer,N,Yes,17.0
271,Doll,Burtwell,Female,26,51,Financial Advisor,Financial Services,Mass Customer,N,No,4.0
272,Arlie,Crean,Female,30,22,Product Engineer,Retail,Mass Customer,N,Yes,1.0
273,Nevile,Abraham,Male,54,54,Computer Systems Analyst IV,Missing,Mass Customer,N,No,19.0
274,Tessi,Hesse,Female,41,66,Social Worker,Health,Mass Customer,N,Yes,14.0
275,Dud,None,Male,62,7,VP Sales,Health,High Net Worth,N,No,13.0
276,Goldi,Dwine,Female,27,47,Missing,Financial Services,Mass Customer,N,No,22.0
277,Jehanna,Alvarado,Female,61,69,VP Product Management,Missing,High Net Worth,N,No,15.0
278,Sydney,Georger,Male,20,22,Executive Secretary,Missing,Affluent Customer,N,Yes,4.0
279,Tamera,Hinckes,Female,36,0,Web Designer I,Manufacturing,Mass Customer,N,No,11.0
280,Welch,MacAllaster,Male,22,15,Geologist I,Missing,Affluent Customer,N,Yes,5.0
281,Jeanette,Sizzey,Female,45,51,Cost Accountant,Financial Services,High Net Worth,N,Yes,8.0
282,Lauren,Curcher,Male,28,82,VP Quality Control,Argiculture,High Net Worth,N,Yes,11.0
283,Sari,Noye,Female,26,34,Assistant Manager,Retail,Mass Customer,N,No,2.0
284,Seth,Moorman,Male,31,38,Financial Analyst,Financial Services,High Net Worth,N,Yes,9.0
285,Julee,Janovsky,Female,40,3,Community Outreach Specialist,Manufacturing,Mass Customer,N,No,12.0
286,Kiley,Canaan,Male,28,99,Accounting Assistant II,Manufacturing,Affluent Customer,N,Yes,11.0
287,Hannie,Wodham,Female,32,41,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,No,4.0
288,Ebenezer,Seedman,Male,32,71,Missing,Manufacturing,High Net Worth,N,No,9.0
289,Modestia,Lithgow,Female,47,43,Clinical Specialist,Health,High Net Worth,N,No,10.0
291,Aime,Burston,Female,46,63,Assistant Media Planner,Entertainment,Mass Customer,N,No,4.0
292,Gelya,Gerant,Female,56,42,VP Product Management,Missing,Affluent Customer,N,Yes,9.0
293,Virgilio,Willcocks,Male,28,80,Administrative Assistant III,Manufacturing,Mass Customer,N,Yes,20.0
294,Magnum,Slowan,Male,58,39,Recruiting Manager,Missing,High Net Worth,N,No,5.0
295,Lena,Chape,Female,53,64,Database Administrator II,Missing,Mass Customer,N,Yes,18.0
