first_name,last_name,gender,age,age_group,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value
Melba,Spellacy,Female,41,50,38,VP Marketing,Health,Mass Customer,N,No,4,0591 Anzinger Circle,2232,NSW,Australia,10,14,1.59375
Mandie,Feares,Female,53,60,32,Clinical Specialist,Health,Mass Customer,N,No,10,39 Kedzie Pass,4053,QLD,Australia,8,14,1.59375
Dukie,Swire,Male,63,70,88,Missing,Manufacturing,Affluent Customer,N,Yes,5,64 Granby Parkway,2500,NSW,Australia,8,16,1.5625
Marcelia,Monkleigh,Female,24,30,61,Associate Professor,Manufacturing,Mass Customer,N,Yes,4,610 Swallow Street,4051,QLD,Australia,6,17,1.546875
Winnifred,Beswetherick,Female,41,50,83,Actuary,Financial Services,Mass Customer,N,No,14,61 4th Street,3040,VIC,Australia,10,17,1.546875
Odilia,Quick,Female,79,80,65,General Manager,Manufacturing,Affluent Customer,N,Yes,11,1550 Russell Way,2222,NSW,Australia,11,19,1.53125
Karly,Willavize,Female,63,70,2,Internal Auditor,Manufacturing,High Net Worth,N,No,12,193 North Point,2190,NSW,Australia,10,19,1.53125
Teddie,Burchill,Male,49,50,11,Programmer I,Manufacturing,Mass Customer,N,Yes,13,321 Raven Plaza,2161,NSW,Australia,9,21,1.515625
Gaston,Dallaghan,Male,24,30,44,Financial Analyst,Financial Services,Mass Customer,N,Yes,8,656 Fuller Street,2783,NSW,Australia,7,21,1.515625
Otis,Ottey,Male,19,20,26,Quality Engineer,Missing,Mass Customer,N,No,3,1562 Merchant Street,4744,QLD,Australia,4,23,1.5
Tabbatha,Averill,Female,40,50,5,Quality Control Specialist,Missing,Affluent Customer,N,Yes,13,663 8th Parkway,2257,NSW,Australia,8,23,1.5
Brena,Schnitter,Female,35,40,78,Account Executive,Manufacturing,Mass Customer,N,No,4,67 Shelley Street,4703,QLD,Australia,5,25,1.484375
Rourke,Gillbard,Male,72,80,11,Missing,Property,Mass Customer,N,No,17,75 Cordelia Trail,4817,QLD,Australia,4,26,1.46875
Dyane,Burwell,Female,65,70,19,Engineer II,Retail,Mass Customer,N,Yes,7,51 Hooker Court,2640,NSW,Australia,2,26,1.46875
Claudine,Barstowk,Female,51,60,71,Nurse,Property,High Net Worth,N,Yes,5,1859 Forest Circle,4000,QLD,Australia,11,26,1.46875
Blinnie,Roze,Female,57,60,84,Librarian,Entertainment,High Net Worth,N,No,11,44557 Rutledge Court,4171,QLD,Australia,7,26,1.46875
Rhona,De Freyne,Female,57,60,45,Missing,Health,High Net Worth,N,No,8,11184 East Drive,3056,VIC,Australia,10,30,1.4609375
Sharron,Claibourn,Female,37,40,62,Missing,Financial Services,High Net Worth,N,Yes,17,555 Hermina Avenue,2280,NSW,Australia,8,30,1.4609375
Brien,Heaton,Male,66,70,70,Clinical Specialist,Health,Mass Customer,N,Yes,12,8 Novick Trail,2470,NSW,Australia,2,32,1.453125
Sybilla,MacCart,Female,30,40,88,Paralegal,Financial Services,Mass Customer,N,Yes,7,74 Welch Pass,2620,NSW,Australia,7,32,1.453125
Mikel,McNess,Male,36,40,71,Nurse,Missing,Mass Customer,N,No,9,3 Pleasure Drive,4122,QLD,Australia,9,32,1.453125
Maisie,Maddox,Female,40,50,27,Assistant Manager,Financial Services,Affluent Customer,N,No,20,8 Dennis Point,3226,VIC,Australia,9,32,1.453125
Arleen,Casbolt,Female,42,50,48,Senior Quality Engineer,Financial Services,Affluent Customer,N,Yes,13,41042 Lotheville Crossing,4817,QLD,Australia,1,36,1.44765625
Farlie,Petford,Male,49,50,76,Recruiting Manager,Missing,High Net Worth,N,No,13,2330 Butternut Trail,2017,NSW,Australia,10,36,1.44765625
Mitchell,MacCague,Male,38,40,58,Missing,Manufacturing,Mass Customer,N,No,15,240 Acker Avenue,3190,VIC,Australia,8,38,1.4375
Garik,Whitwell,Male,62,70,44,Missing,Property,Mass Customer,N,Yes,13,04 Dexter Way,3280,VIC,Australia,2,38,1.4375
Antonin,Britt,Male,24,30,64,Missing,Manufacturing,Affluent Customer,N,Yes,8,011 Northland Trail,2160,NSW,Australia,9,40,1.434375
Vinny,Incogna,Female,64,70,73,Missing,Health,High Net Worth,N,No,10,8 Grayhawk Circle,2756,NSW,Australia,8,40,1.434375
Colene,Fishleigh,Female,32,40,24,Design Engineer,Financial Services,Mass Customer,N,No,3,44 Darwin Lane,3149,VIC,Australia,10,42,1.421875
Neile,Argent,Female,71,80,79,Missing,Retail,Mass Customer,N,No,8,2548 Arrowood Pass,2024,NSW,Australia,10,42,1.421875
Corinna,Suggey,Female,51,60,52,Design Engineer,Missing,Affluent Customer,N,No,9,938 Ilene Road,2761,NSW,Australia,8,44,1.42109375
Brooke,Arling,Male,56,60,76,Missing,Missing,High Net Worth,N,No,6,6 Melby Center,3027,VIC,Australia,5,44,1.42109375
Gipsy,Ewestace,Female,61,70,29,Business Systems Development Analyst,Retail,High Net Worth,N,Yes,5,08708 Moulton Park,2034,NSW,Australia,12,46,1.4078125
Sheena,Kybbye,Female,61,70,14,Paralegal,Financial Services,Affluent Customer,N,Yes,19,306 Clemons Junction,4852,QLD,Australia,1,46,1.4078125
Jobina,Gobourn,Female,23,30,85,VP Quality Control,Missing,High Net Worth,N,Yes,14,18 Grim Road,4305,QLD,Australia,4,46,1.4078125
Gale,Disbrow,Female,40,50,59,Cost Accountant,Financial Services,Mass Customer,N,Yes,17,169 Bashford Drive,3741,VIC,Australia,7,46,1.4078125
Thaxter,Kingsbury,Male,67,70,12,Product Engineer,Argiculture,Mass Customer,N,No,20,3 Vermont Lane,2067,NSW,Australia,12,50,1.40625
Heinrick,Shilstone,Male,39,40,60,Missing,Manufacturing,Affluent Customer,N,No,10,998 Gale Park,3174,VIC,Australia,8,50,1.40625
Taylor,Steuhlmeyer,Male,18,20,62,Paralegal,Financial Services,Affluent Customer,N,Yes,5,64 Mcguire Trail,4017,QLD,Australia,8,52,1.39453125
Griswold,Kelsall,Male,24,30,55,Social Worker,Health,High Net Worth,N,Yes,11,74127 Blaine Point,3805,VIC,Australia,7,52,1.39453125
Odessa,Mc Andrew,Female,36,40,97,Missing,Property,Mass Customer,N,No,8,31756 Meadow Valley Lane,2232,NSW,Australia,10,54,1.38125
Lavena,Seekings,Female,22,30,87,Payment Adjustment Coordinator,Retail,Mass Customer,N,No,16,293 Mayfield Street,3166,VIC,Australia,10,54,1.38125
Martelle,Tuppeny,Female,36,40,52,Marketing Assistant,Manufacturing,Mass Customer,N,No,9,261 Grayhawk Way,2226,NSW,Australia,10,54,1.38125
Briant,Ladley,Male,38,40,75,Recruiter,Argiculture,Mass Customer,N,No,12,2 Schlimgen Terrace,2750,NSW,Australia,8,57,1.375
Marylou,Kirkup,Female,45,50,51,VP Product Management,Missing,Mass Customer,N,No,14,76733 Sunbrook Terrace,3196,VIC,Australia,9,57,1.375
Whittaker,None,Male,51,60,64,Media Manager III,Missing,Mass Customer,N,Yes,8,683 Florence Way,3156,VIC,Australia,5,57,1.375
Lorrie,Antonelli,Male,34,40,47,Cost Accountant,Financial Services,High Net Worth,N,Yes,17,06936 Bobwhite Circle,2257,NSW,Australia,7,57,1.375
Jedediah,Kedie,Male,46,50,31,Developer I,Argiculture,Mass Customer,N,Yes,9,283 Acker Drive,2763,NSW,Australia,9,62,1.36796875
Kaine,Smallcombe,Male,75,80,59,Senior Financial Analyst,Financial Services,High Net Worth,N,No,11,9 Mosinee Parkway,2072,NSW,Australia,10,62,1.36796875
Loise,Iltchev,Female,50,60,70,Electrical Engineer,Manufacturing,High Net Worth,N,Yes,17,45 Becker Place,4504,QLD,Australia,6,62,1.36796875
Cristen,Maroney,Female,18,20,22,Accountant IV,IT,High Net Worth,N,Yes,7,27 Karstens Crossing,4214,QLD,Australia,7,65,1.3625
Dorothy,Barnardo,Female,34,40,58,Human Resources Manager,Retail,High Net Worth,N,No,12,9630 Cottonwood Avenue,2168,NSW,Australia,8,65,1.3625
Rosmunda,Duxbarry,Female,21,30,69,Executive Secretary,Property,Affluent Customer,N,Yes,5,989 Graedel Terrace,4208,QLD,Australia,11,65,1.3625
Rozamond,Riha,Female,33,40,54,Account Representative I,Manufacturing,Affluent Customer,N,Yes,16,76 Bartelt Center,4078,QLD,Australia,7,68,1.3546875
Gunner,Petti,Male,18,20,62,Executive Secretary,Financial Services,High Net Worth,N,Yes,3,29778 Mendota Drive,4036,QLD,Australia,5,68,1.3546875
Vivienne,Crayden,Female,29,30,82,Associate Professor,Missing,High Net Worth,N,Yes,6,69 Algoma Center,4173,QLD,Australia,7,68,1.3546875
Sherilyn,Canero,Female,21,30,11,Dental Hygienist,Health,High Net Worth,N,Yes,13,8288 Lyons Way,2484,NSW,Australia,7,68,1.3546875
Bessie,Roscow,Female,23,30,78,GIS Technical Architect,Financial Services,Mass Customer,N,No,9,4185 Florence Trail,2121,NSW,Australia,10,72,1.35
Kevina,Ferandez,Female,18,20,73,Assistant Professor,Financial Services,High Net Worth,N,No,15,9608 Heffernan Drive,4068,QLD,Australia,9,72,1.35
Yancy,Clementet,Male,49,50,5,Mechanical Systems Engineer,Missing,High Net Worth,N,No,15,9 Union Center,2147,NSW,Australia,9,72,1.35
Mabelle,Wellbelove,Female,59,60,76,Missing,Financial Services,Affluent Customer,N,Yes,19,800 Emmet Park,2219,NSW,Australia,9,72,1.35
Hasheem,Groucock,Male,43,50,98,Budget/Accounting Analyst IV,Manufacturing,High Net Worth,N,Yes,10,12351 Spenser Pass,2034,NSW,Australia,12,72,1.35
Tobias,Woodhams,Male,56,60,0,Research Nurse,Health,Mass Customer,N,No,17,4 Valley Edge Plaza,2759,NSW,Australia,9,77,1.34140625
Glennis,Flintoff,Female,61,70,36,Speech Pathologist,Health,Affluent Customer,N,Yes,13,1601 Rutledge Lane,3030,VIC,Australia,7,78,1.3375
Chanda,Mensler,Female,45,50,15,Computer Systems Analyst IV,Manufacturing,Mass Customer,N,Yes,13,0 Mockingbird Plaza,2212,NSW,Australia,10,78,1.3375
Katheryn,Kinner,Female,44,50,15,Analyst Programmer,Entertainment,High Net Worth,N,No,6,1665 Kenwood Center,2518,NSW,Australia,6,78,1.3375
Sumner,Carrivick,Male,22,30,53,Desktop Support Technician,Manufacturing,Mass Customer,N,No,15,5 4th Center,2097,NSW,Australia,12,78,1.3375
Valerie,Pickover,Female,52,60,34,Editor,Financial Services,Mass Customer,N,No,9,92214 Spenser Road,2756,NSW,Australia,8,78,1.3375
Esther,Rooson,Female,36,40,14,Missing,Financial Services,Mass Customer,N,No,5,5186 Main Trail,2046,NSW,Australia,9,78,1.3375
Gardie,Crellim,Male,42,50,58,Biostatistician IV,Manufacturing,High Net Worth,N,No,8,564 Forest Dale Avenue,3161,VIC,Australia,12,84,1.328125
Sean,O'Loughlin,Male,56,60,48,Database Administrator III,Manufacturing,High Net Worth,N,Yes,16,83 Old Gate Point,2576,NSW,Australia,10,85,1.325
Pietra,Buckleigh,Female,68,70,9,Engineer III,Missing,High Net Worth,N,No,13,387 Dixon Alley,2024,NSW,Australia,10,85,1.325
Marysa,Rouchy,Female,18,20,8,Assistant Media Planner,Entertainment,Affluent Customer,N,No,5,411 Twin Pines Way,2026,NSW,Australia,9,85,1.325
Kahaleel,None,Male,75,80,5,GIS Technical Architect,Missing,High Net Worth,N,No,13,12 Arapahoe Park,2035,NSW,Australia,12,88,1.31484375
Ossie,Midden,Male,67,70,49,Physical Therapy Assistant,Manufacturing,Mass Customer,N,Yes,14,4915 Debra Center,2479,NSW,Australia,9,89,1.3125
Sid,Carlone,Male,46,50,24,Structural Engineer,Health,Affluent Customer,N,No,16,76 Sunnyside Avenue,4670,QLD,Australia,2,89,1.3125
Ludovico,Juster,Male,25,30,93,Environmental Specialist,Missing,Affluent Customer,N,No,15,1 Talisman Avenue,2125,NSW,Australia,10,89,1.3125
Patricia,Everix,Female,39,40,34,Director of Sales,Health,Mass Customer,N,No,19,91164 Washington Terrace,2263,NSW,Australia,7,89,1.3125
Andromache,Bonafacino,Female,40,50,84,Missing,Retail,Mass Customer,N,No,11,74 Carpenter Street,2015,NSW,Australia,9,89,1.3125
Levy,Abramamov,Male,65,70,94,Teacher,Missing,Affluent Customer,N,Yes,14,6776 Anderson Center,4037,QLD,Australia,8,89,1.3125
Nobe,McAughtry,Male,39,40,25,Missing,Missing,Mass Customer,N,No,12,1 Orin Hill,4510,QLD,Australia,5,89,1.3125
Jehu,Prestedge,Male,18,20,91,Missing,Manufacturing,High Net Worth,N,Yes,8,88 Annamark Avenue,2138,NSW,Australia,12,96,1.3
Symon,Mawne,Male,74,80,18,Human Resources Assistant IV,Property,Mass Customer,N,Yes,15,37439 High Crossing Circle,3350,VIC,Australia,4,96,1.3
Karlik,Penchen,Male,23,30,60,Nurse Practicioner,Retail,Mass Customer,N,No,11,5 Nevada Point,4017,QLD,Australia,6,96,1.3
Bengt,Bilson,Male,45,50,26,Structural Engineer,Manufacturing,High Net Worth,N,No,11,67 Grayhawk Circle,2232,NSW,Australia,10,99,1.296875
Evangelin,Boc,Female,17,20,30,Structural Analysis Engineer,Manufacturing,High Net Worth,N,Yes,14,0 Meadow Ridge Street,3173,VIC,Australia,8,99,1.296875
Hanny,Treven,Female,26,30,84,Associate Professor,Retail,Mass Customer,N,No,3,5 Quincy Street,4118,QLD,Australia,4,99,1.296875
Gina,Mallon,Female,23,30,56,Dental Hygienist,Health,Mass Customer,N,No,12,13025 Johnson Plaza,4670,QLD,Australia,2,102,1.28828125
Reynold,Elman,Male,78,80,19,Marketing Manager,Manufacturing,Mass Customer,N,No,9,966 Sunnyside Center,2390,NSW,Australia,2,102,1.28828125
Flossy,Concannon,Female,37,40,64,Staff Accountant IV,Financial Services,Affluent Customer,N,No,8,802 Mallory Park,3919,VIC,Australia,2,104,1.2875
Cristen,Wiltshire,Female,56,60,59,VP Sales,Financial Services,High Net Worth,N,Yes,15,93 Judy Drive,3047,VIC,Australia,6,104,1.2875
Griffith,Escot,Male,71,80,50,Accountant III,IT,Mass Customer,N,Yes,16,94 Manitowish Court,4116,QLD,Australia,3,104,1.2875
Jamie,Jiruca,Female,54,60,21,Recruiting Manager,Argiculture,Mass Customer,N,No,18,5013 Erie Crossing,2230,NSW,Australia,9,104,1.2875
Lyon,Brittan,Male,45,50,14,Sales Representative,Retail,High Net Worth,N,No,19,540 Sachs Road,3153,VIC,Australia,8,104,1.2875
Aridatha,Sephton,Female,56,60,95,Human Resources Assistant II,Missing,Mass Customer,N,No,5,422 Forster Circle,2340,NSW,Australia,1,104,1.2875
Michal,Bryan,Female,48,50,1,Missing,Manufacturing,Mass Customer,N,Yes,16,4275 Bluestem Pass,4000,QLD,Australia,8,104,1.2875
Franciska,Stigell,Female,49,50,95,Food Chemist,Health,Mass Customer,N,Yes,7,6 Anderson Junction,3802,VIC,Australia,7,111,1.28125
Jordan,Clampe,Male,78,80,37,Staff Scientist,Financial Services,Mass Customer,N,Yes,11,276 Westend Road,4207,QLD,Australia,5,111,1.28125
David,Napoleon,Male,56,60,72,Structural Engineer,Missing,High Net Worth,N,No,14,69 Garrison Point,2223,NSW,Australia,11,111,1.28125
Meriel,Tapp,Female,22,30,0,VP Sales,IT,Mass Customer,N,No,5,65 Milwaukee Hill,3280,VIC,Australia,2,114,1.275
Dolley,Starmont,Female,40,50,53,Geologist IV,Manufacturing,Affluent Customer,N,No,18,4252 Dovetail Pass,4129,QLD,Australia,6,114,1.275
Frederik,Milan,Male,20,30,45,Missing,Health,Mass Customer,N,No,5,56 Riverside Street,2546,NSW,Australia,5,114,1.275
Rollo,Louedey,Male,71,80,64,Information Systems Manager,Telecommunications,Affluent Customer,N,Yes,17,7 Cascade Park,2089,NSW,Australia,9,114,1.275
Jerrine,Cosbey,Female,39,40,21,Junior Executive,Financial Services,High Net Worth,N,Yes,6,29307 Russell Avenue,3094,VIC,Australia,9,114,1.275
Roddy,Rubinshtein,Male,30,40,37,Nurse Practicioner,Retail,Mass Customer,N,Yes,4,3 Mcguire Crossing,4510,QLD,Australia,7,114,1.275
Viki,Coutts,Female,65,70,2,Automation Specialist II,Property,Mass Customer,N,Yes,7,6 Golf View Alley,2287,NSW,Australia,4,120,1.2625
Ashby,Bispham,Male,36,40,71,Software Consultant,Retail,Affluent Customer,N,No,4,83716 Russell Lane,2145,NSW,Australia,8,120,1.2625
Alexander,Broadbent,Male,20,30,57,Desktop Support Technician,Missing,Mass Customer,N,No,9,265 Stephen Trail,2209,NSW,Australia,10,120,1.2625
Teddy,Lagadu,Female,48,50,86,Design Engineer,Missing,High Net Worth,N,No,6,2 Charing Cross Trail,2759,NSW,Australia,8,120,1.2625
Peria,Rantoull,Female,42,50,3,Financial Analyst,Financial Services,Mass Customer,N,No,4,8350 Moulton Terrace,4500,QLD,Australia,4,120,1.2625
Ludvig,Andren,Male,76,80,44,Media Manager III,Missing,High Net Worth,N,Yes,15,578 Waywood Circle,4306,QLD,Australia,5,125,1.26171875
Elsworth,Abbitt,Male,61,70,71,Missing,Health,Mass Customer,N,Yes,6,9722 Northport Way,3500,VIC,Australia,3,125,1.26171875
Rebeca,Aggas,Female,64,70,66,Social Worker,Health,Affluent Customer,N,No,21,7026 Katie Lane,3818,VIC,Australia,1,127,1.25
Ricki,Dobrowski,Male,42,50,13,Civil Engineer,Manufacturing,Mass Customer,N,Yes,9,8 Eggendart Pass,2835,NSW,Australia,1,127,1.25
Georgetta,Lovett,Female,77,80,42,Editor,Retail,Mass Customer,N,No,12,1 Bluejay Place,4405,QLD,Australia,1,127,1.25
Bambi,Cogger,Female,27,30,51,Design Engineer,Retail,Affluent Customer,N,Yes,5,28970 Monument Lane,2560,NSW,Australia,7,127,1.25
Aurie,Rhead,Female,55,60,78,Geological Engineer,Manufacturing,Affluent Customer,N,Yes,5,235 Mendota Court,2650,NSW,Australia,2,127,1.25
Farris,Skettles,Male,52,60,38,Payment Adjustment Coordinator,Missing,Mass Customer,N,Yes,13,49309 Redwing Lane,3240,VIC,Australia,7,132,1.2484375
Sharline,Abyss,Female,57,60,11,Missing,Missing,Mass Customer,N,Yes,15,367 Bay Point,4011,QLD,Australia,4,133,1.2375
Nowell,Preddy,Male,32,40,29,Missing,Manufacturing,Mass Customer,N,No,9,932 Glendale Avenue,2173,NSW,Australia,9,133,1.2375
Lacy,Drance,Female,39,40,27,Graphic Designer,Manufacturing,Affluent Customer,N,Yes,14,492 Waywood Lane,2750,NSW,Australia,8,133,1.2375
Padraig,Snel,Male,47,50,89,Staff Accountant II,Missing,Mass Customer,N,No,19,12683 Mifflin Point,2114,NSW,Australia,7,133,1.2375
Malorie,Votier,Female,27,30,90,Graphic Designer,Manufacturing,Affluent Customer,N,No,4,6160 Weeping Birch Hill,4509,QLD,Australia,5,133,1.2375
Shepperd,Ricards,Male,50,60,28,Social Worker,Health,Mass Customer,N,Yes,16,7 Oakridge Lane,2284,NSW,Australia,4,133,1.2375
Daryl,Pauncefort,Female,38,40,12,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,12,0 Dexter Parkway,2380,NSW,Australia,3,133,1.2375
Norina,Blakeway,Female,37,40,60,Programmer Analyst II,Property,Mass Customer,N,Yes,3,75813 Lawn Lane,3081,VIC,Australia,8,133,1.2375
My,Chaston,Male,51,60,92,Desktop Support Technician,Manufacturing,Affluent Customer,N,Yes,16,74613 Northport Park,3765,VIC,Australia,9,133,1.2375
Isak,Bergstram,Male,16,20,14,Pharmacist,Health,Affluent Customer,N,Yes,15,68 Karstens Pass,2176,NSW,Australia,9,142,1.23515625
Grannie,Cracker,Male,68,70,28,VP Marketing,Retail,Mass Customer,N,Yes,20,87254 Hermina Pass,4217,QLD,Australia,8,142,1.23515625
Welby,Lourenco,Male,42,50,6,Senior Cost Accountant,Financial Services,High Net Worth,N,Yes,17,801 Atwood Alley,2138,NSW,Australia,9,144,1.234375
Glenn,Casbourne,Female,36,40,4,Senior Editor,Manufacturing,Mass Customer,N,No,6,2 Morrow Alley,4207,QLD,Australia,1,144,1.234375
Nadiya,Balasini,Female,67,70,40,Sales Associate,Financial Services,Mass Customer,N,No,15,92934 Mallory Trail,2164,NSW,Australia,9,146,1.225
Tyne,Coate,Female,52,60,82,Developer II,Manufacturing,Mass Customer,N,No,17,90820 Thackeray Street,2218,NSW,Australia,8,146,1.225
Christie,Anders,Male,48,50,38,VP Marketing,Retail,Mass Customer,N,No,16,48 Ludington Plaza,2153,NSW,Australia,10,146,1.225
Agnella,Capener,Female,48,50,58,Teacher,Health,High Net Worth,N,No,19,49185 Derek Circle,3977,VIC,Australia,6,146,1.225
Bernardine,Delmonti,Female,46,50,39,Missing,Property,Mass Customer,N,No,17,0721 Meadow Ridge Pass,2540,NSW,Australia,8,146,1.225
Daisy,Spowart,Female,50,60,60,Staff Accountant I,Health,Affluent Customer,N,Yes,4,115 Westridge Road,4570,QLD,Australia,3,146,1.225
Denys,Minshall,Female,56,60,30,Environmental Tech,Manufacturing,Affluent Customer,N,Yes,14,7 Myrtle Lane,2324,NSW,Australia,8,152,1.221875
Archibald,Blessed,Male,48,50,61,VP Sales,Financial Services,Mass Customer,N,Yes,18,7795 Memorial Drive,2016,NSW,Australia,11,153,1.21875
Feodor,Englishby,Male,56,60,54,Account Coordinator,Health,Mass Customer,N,No,11,24695 Boyd Road,3201,VIC,Australia,5,154,1.203125
Skippie,Yearsley,Male,61,70,6,Compensation Analyst,Financial Services,Mass Customer,N,No,9,95306 John Wall Avenue,4350,QLD,Australia,5,155,1.2
Bill,None,Female,54,60,74,Human Resources Assistant II,Property,Mass Customer,N,Yes,19,6704 Pine View Lane,2170,NSW,Australia,9,155,1.2
Tessa,Friese,Female,41,50,89,Health Coach II,Financial Services,Mass Customer,N,No,21,98158 Alpine Point,4212,QLD,Australia,9,157,1.1953125
Roseanne,Caruth,Female,60,70,16,Programmer Analyst III,Health,Mass Customer,N,No,7,33652 Lyons Alley,2763,NSW,Australia,9,158,1.1875
Tedra,Goodbanne,Female,39,40,4,Senior Quality Engineer,Missing,Mass Customer,N,Yes,6,8 Debs Road,3934,VIC,Australia,9,158,1.1875
Roberto,Harme,Male,66,70,27,Environmental Tech,Missing,High Net Worth,N,No,10,101 Starling Pass,2564,NSW,Australia,9,158,1.1875
Nichole,Leisman,Male,31,40,37,Geologist III,Property,Affluent Customer,N,No,4,35151 Bunker Hill Crossing,2068,NSW,Australia,12,158,1.1875
Amil,Ennor,Female,22,30,23,Health Coach II,Health,Mass Customer,N,Yes,10,2093 Amoth Pass,3109,VIC,Australia,11,158,1.1875
Shawna,Hinrichsen,Female,48,50,60,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,9,57343 Eagan Avenue,2326,NSW,Australia,2,163,1.18203125
Fonsie,Levane,Male,66,70,96,Account Representative III,Missing,High Net Worth,N,Yes,19,83 Armistice Terrace,4011,QLD,Australia,3,163,1.18203125
Emilie,Brody,Female,38,40,3,Director of Sales,Missing,Mass Customer,N,Yes,3,5388 Burrows Alley,2073,NSW,Australia,11,163,1.18203125
Robert,Corkill,Male,41,50,55,Clinical Specialist,Health,Mass Customer,N,No,4,5612 Toban Point,2227,NSW,Australia,10,166,1.175
Elvira,Kurten,Female,44,50,65,Assistant Professor,Financial Services,High Net Worth,N,No,12,65 Ridge Oak Court,2471,NSW,Australia,3,166,1.175
Juliana,Mitchenson,Female,29,30,55,Environmental Tech,Manufacturing,Mass Customer,N,Yes,8,74 Russell Terrace,4350,QLD,Australia,4,166,1.175
Regine,Bownes,Female,65,70,99,Senior Developer,Retail,Affluent Customer,N,No,15,255 Loeprich Lane,3752,VIC,Australia,9,166,1.175
Abner,Fraschetti,Male,31,40,33,Staff Scientist,Argiculture,Affluent Customer,N,No,13,67 Northport Avenue,3805,VIC,Australia,7,166,1.175
Alvira,Coulman,Female,62,70,42,Account Representative II,Missing,Affluent Customer,N,No,14,823 Wayridge Trail,2205,NSW,Australia,9,166,1.175
Sawyer,Sponton,Male,61,70,36,Help Desk Technician,Property,Mass Customer,N,Yes,10,5 Golf Terrace,2126,NSW,Australia,11,166,1.175
Feodor,Vickers,Male,28,30,60,VP Quality Control,Financial Services,Mass Customer,N,Yes,4,40809 Truax Way,2209,NSW,Australia,6,173,1.171875
Paten,Cayet,Male,22,30,56,Assistant Manager,Manufacturing,Affluent Customer,N,Yes,16,1398 Burning Wood Way,3850,VIC,Australia,1,174,1.16875
Loria,Tappington,Female,62,70,72,Research Assistant IV,Property,Mass Customer,N,No,5,3920 Swallow Junction,3038,VIC,Australia,8,174,1.16875
Tanya,Kiefer,Female,25,30,54,Speech Pathologist,Telecommunications,High Net Worth,N,No,7,4 Warner Park,2146,NSW,Australia,9,174,1.16875
Devonne,Alderwick,Female,78,80,79,Research Associate,Missing,High Net Worth,N,Yes,9,534 Lien Lane,3122,VIC,Australia,7,177,1.1625
Omero,McDonand,Male,65,70,51,Software Consultant,Manufacturing,Mass Customer,N,No,16,48 Shoshone Park,2066,NSW,Australia,9,177,1.1625
Iain,Haversham,Male,67,70,92,Sales Representative,Retail,Mass Customer,N,Yes,13,170 Briar Crest Place,2120,NSW,Australia,10,177,1.1625
Keriann,Newham,Female,42,50,71,Assistant Manager,Financial Services,Mass Customer,N,No,5,0193 Northland Street,4179,QLD,Australia,9,177,1.1625
Conroy,Rappaport,Male,53,60,39,Assistant Manager,Health,High Net Worth,N,No,9,5219 Pearson Drive,2148,NSW,Australia,9,181,1.158125
Dorian,Rustman,Male,43,50,78,Junior Executive,Manufacturing,Mass Customer,N,No,18,6156 Summit Center,4352,QLD,Australia,7,181,1.158125
